Iteration: 1, Loss: 1.3369, Train Accuracy: 36.71%, Validation Accuracy: 58.23%
Iteration: 2, Loss: 0.7685, Train Accuracy: 69.65%, Validation Accuracy: 93.48%
Iteration: 3, Loss: 0.3623, Train Accuracy: 89.56%, Validation Accuracy: 95.43%
Iteration: 4, Loss: 0.2873, Train Accuracy: 92.78%, Validation Accuracy: 95.60%
Iteration: 5, Loss: 0.2594, Train Accuracy: 93.57%, Validation Accuracy: 95.62%
Iteration: 6, Loss: 0.2433, Train Accuracy: 94.06%, Validation Accuracy: 95.62%
Iteration: 7, Loss: 0.2319, Train Accuracy: 94.37%, Validation Accuracy: 95.62%
Iteration: 8, Loss: 0.2263, Train Accuracy: 94.42%, Validation Accuracy: 95.62%
Iteration: 9, Loss: 0.2190, Train Accuracy: 94.42%, Validation Accuracy: 95.62%
Iteration: 10, Loss: 0.2160, Train Accuracy: 94.73%, Validation Accuracy: 95.62%
Iteration: 11, Loss: 0.2160, Train Accuracy: 94.59%, Validation Accuracy: 95.62%
Iteration: 12, Loss: 0.2082, Train Accuracy: 94.59%, Validation Accuracy: 95.62%
Iteration: 13, Loss: 0.2088, Train Accuracy: 94.76%, Validation Accuracy: 95.62%
Iteration: 14, Loss: 0.2034, Train Accuracy: 94.74%, Validation Accuracy: 95.62%
Iteration: 15, Loss: 0.1995, Train Accuracy: 94.87%, Validation Accuracy: 95.62%
Iteration: 16, Loss: 0.1990, Train Accuracy: 94.87%, Validation Accuracy: 95.62%
Iteration: 17, Loss: 0.1994, Train Accuracy: 94.89%, Validation Accuracy: 95.62%
Iteration: 18, Loss: 0.2000, Train Accuracy: 94.85%, Validation Accuracy: 95.62%
Iteration: 19, Loss: 0.1962, Train Accuracy: 94.84%, Validation Accuracy: 95.62%
Iteration: 20, Loss: 0.1942, Train Accuracy: 94.95%, Validation Accuracy: 95.62%
Iteration: 21, Loss: 0.1916, Train Accuracy: 94.94%, Validation Accuracy: 95.62%
Iteration: 22, Loss: 0.1932, Train Accuracy: 94.85%, Validation Accuracy: 95.62%
Iteration: 23, Loss: 0.1919, Train Accuracy: 95.08%, Validation Accuracy: 95.62%
Iteration: 24, Loss: 0.1883, Train Accuracy: 94.99%, Validation Accuracy: 95.62%
Iteration: 25, Loss: 0.1880, Train Accuracy: 94.99%, Validation Accuracy: 95.62%
Iteration: 26, Loss: 0.1867, Train Accuracy: 94.97%, Validation Accuracy: 95.62%
Iteration: 27, Loss: 0.1870, Train Accuracy: 95.00%, Validation Accuracy: 95.62%
Iteration: 28, Loss: 0.1865, Train Accuracy: 95.06%, Validation Accuracy: 95.62%
Iteration: 29, Loss: 0.1876, Train Accuracy: 95.12%, Validation Accuracy: 95.62%
Iteration: 30, Loss: 0.1857, Train Accuracy: 95.10%, Validation Accuracy: 95.62%
Iteration: 31, Loss: 0.1848, Train Accuracy: 95.11%, Validation Accuracy: 95.62%
Iteration: 32, Loss: 0.1857, Train Accuracy: 95.10%, Validation Accuracy: 95.62%
Iteration: 33, Loss: 0.1869, Train Accuracy: 94.98%, Validation Accuracy: 95.62%
Iteration: 34, Loss: 0.1822, Train Accuracy: 95.13%, Validation Accuracy: 95.62%
Iteration: 35, Loss: 0.1844, Train Accuracy: 95.09%, Validation Accuracy: 95.62%
Iteration: 36, Loss: 0.1816, Train Accuracy: 95.07%, Validation Accuracy: 95.62%
Iteration: 37, Loss: 0.1802, Train Accuracy: 95.12%, Validation Accuracy: 95.62%
Iteration: 38, Loss: 0.1823, Train Accuracy: 95.05%, Validation Accuracy: 95.62%
Iteration: 39, Loss: 0.1811, Train Accuracy: 95.12%, Validation Accuracy: 95.62%
Iteration: 40, Loss: 0.1803, Train Accuracy: 95.22%, Validation Accuracy: 95.62%
Iteration: 41, Loss: 0.1810, Train Accuracy: 95.16%, Validation Accuracy: 95.62%
Iteration: 42, Loss: 0.1790, Train Accuracy: 95.19%, Validation Accuracy: 95.62%
Iteration: 43, Loss: 0.1803, Train Accuracy: 95.22%, Validation Accuracy: 95.62%
Iteration: 44, Loss: 0.1787, Train Accuracy: 95.15%, Validation Accuracy: 95.62%
